year_x_year_stream	organizers
2021_1.1	Георгием Малиновским
2021_1.1	Дарьей Мельниковой
2021_1.2	Георгием Малиновским
2021_1.2	Дарьей Мельниковой
2021_1.3	Петром Третьяковым
2021_2.1	Дарьей Мельниковой
2021_2.1	Георгием Малиновским
2021_2.2	Дарьей Мельниковой
2021_2.3	Дарьей Мельниковой
2021_2.3	Петром Третьяковым
2021_2.5	Георгием Малиновским
2021_3.1	Георгием Малиновским
2021_3.1	Кириллом Дехничем
2021_3.2	Дарьей Мельниковой
2021_3.2	Кириллом Дехничем
2021_3.3	Дарьей Мельниковой
2021_3.3	Георгием Малиновским
2021_3.4	Георгием Малиновским
2021_3.4	Дарьей Мельниковой
2021_3.5	Кириллом Дехничем
2021_4.3	Петром Третьяковым
2021_4.3	Георгием Малиновским
2021_5.2	Дарьей Мельниковой
2021_5.3	Георгием Малиновским
2021_5.4	Кириллом Дехничем
2021_6.1	Георгием Малиновским
2021_6.1	Дарьей Мельниковой
2021_6.3	Георгием Малиновским
2021_6.3	Петром Третьяковым
2021_m1	Георгием Малиновским
2021_m1	Петром Третьяковым
