link	year_x_year_stream	link_date	link_year_no	link_month_no	link_day_no	link_time	year_stream_no	year_no	stream_no
https://vk.com/wall-33327655_9970	2021_1.1	2021-10-15	2021	10	15	11:11	1.1	1	1
https://vk.com/wall-33327655_9950	2021_1.2	2021-10-14	2021	10	14	10:20	1.2	1	2
https://vk.com/wall-33327655_9969	2021_1.3	2021-10-15	2021	10	15	10:44	1.3	1	3
https://vk.com/wall-33327655_9936	2021_2.1	2021-10-13	2021	10	13	11:44	2.1	2	1
https://vk.com/wall-33327655_9901	2021_2.2	2021-10-12	2021	10	12	10:40	2.2	2	2
https://vk.com/wall-33327655_9932	2021_2.3	2021-10-13	2021	10	13	11:21	2.3	2	3
https://vk.com/wall-33327655_9900	2021_2.5	2021-10-12	2021	10	12	10:10	2.5	2	5
https://vk.com/wall-33327655_9894	2021_3.1	2021-10-11	2021	10	11	11:48	3.1	3	1
https://vk.com/wall-33327655_9889	2021_3.2	2021-10-08	2021	10	8	11:44	3.2	3	2
https://vk.com/wall-33327655_9895	2021_3.3	2021-10-11	2021	10	11	11:58	3.3	3	3
https://vk.com/wall-33327655_9888	2021_3.4	2021-10-08	2021	10	8	11:33	3.4	3	4
https://vk.com/wall-33327655_9887	2021_3.5	2021-10-08	2021	10	8	11:23	3.5	3	5
https://vk.com/wall-33327655_9882	2021_4.3	2021-10-07	2021	10	7	10:10	4.3	4	3
https://vk.com/wall-33327655_9860	2021_5.2	2021-10-05	2021	10	5	11:11	5.2	5	2
https://vk.com/wall-33327655_9858	2021_5.3	2021-10-05	2021	10	5	10:35	5.3	5	3
https://vk.com/wall-33327655_9853	2021_5.4	2021-10-04	2021	10	4	10:47	5.4	5	4
https://vk.com/wall-33327655_9978	2021_6.1	2021-10-16	2021	10	16	10:25	6.1	6	1
https://vk.com/wall-33327655_9982	2021_6.3	2021-10-16	2021	10	16	10:50	6.3	6	3
https://vk.com/wall-33327655_9983	2021_m1	2021-10-16	2021	10	16	11:20	m1	1	0
